,EV/EBIT,Op. In./(NWC+FA),P/E,P/B,P/S,Op. In./Interest Expense,Working Capital Ratio,RoE,ROCE,Debt/Equity,Debt Ratio,Cash Ratio,Asset Turnover,Gross Profit Margin,Perf
12699,7.909936023,5,6.072155843,-0.833723995,0.714033175,4.439539124,0.912974958,-0.137302799,0.41077779,0,0.487740115,0.504762593,19.80566788,0.580649988,-0.192395786
821,17.08589964,-1.247491639,29.38963107,2.798088472,4.840534539,5.328571429,0.596533656,0.095206655,0.139455923,0.668770633,2.49528097,0.315464195,23.71397616,0.567114401,0.173605908
5621,-0.642092853,0.326719517,0.007892873,0.001755579,0.001796179,45.05279503,1.476794779,0.22242582,0.291112315,0.443714944,3.253699167,1.134336476,0.972353363,0.510060119,-0.195939086
4764,31.79127737,0.12766111,51.91781158,3.741047237,1.621079538,4.722352258,2.204625454,0.072057106,0.062962089,1.77958369,1.561929178,0.573263026,6.282070363,0.309924215,0
1266,3.391928671,0.302952145,5.10579537,1.424036274,0.544168145,248.3428571,2.780515924,0.278905865,0.248410758,1.055396747,1.947510974,0.677186915,3.250306072,0.216942577,0.417760885
7742,15.36781194,0.644104026,21.7548882,5.026603042,4.385846481,-200,1.37449039,0.231056257,0.222729529,0.938719862,2.065280538,0.885264997,5.250493097,0.568870523,0.155148968
9467,30.75239117,0.26758907,80.42933556,1.790553611,0.943206674,2.761114002,1.970769553,0.022262444,0.034687631,1.777575348,1.562564057,0.535533232,11.46097776,0.52232702,0.361423509
10034,10.79491243,0.135787311,16.52210391,1.697334961,0.333883071,8.759622033,1.276002415,0.102731164,0.104471604,2.094955802,1.477337039,0.25210731,4.9678627,0.162030786,0.150384615
5584,14.54621181,0.347019374,19.74536486,5.497204665,1.846216148,4.264652015,1.884710404,0.278404816,0.146130952,3.249184851,1.307769501,0.183090859,2.32842993,0.362633197,-0.189983919
1519,18.04307116,0.22010254,21.66741573,100,1.121506593,18.09803922,1.246419595,5,0.14735469,100,1.009840664,0.200043882,7.384321074,0.145721204,1.109090909
1731,21.88522883,0.093976386,36.79101194,1.6137356,1.990161314,7.685229578,4.027624272,0.043862224,0.051260767,0.489545686,3.042710268,1.781500438,4.613861409,0.555435885,0.435248095
5171,-0.283767507,0.141185213,0.076195549,0.029690905,0.067343645,-58.46153846,2.250974659,0.389667186,0.166007905,0.427321918,3.340156114,1.372319688,0.725454324,0.460322798,0.059916117
2461,-55.56482652,-0.034031348,-154.4330746,1.906295988,4.278993211,800,6.446587384,-0.012343832,0,0.115150793,9.684264988,4.534488108,6.149461086,0.679121592,0.845991561
1504,9.781714486,0.209998233,16.62342879,2.354478328,1.443510318,5.432326464,3.882295762,0.141636142,0.146710746,1.109722091,1.901126515,1.837718403,3.45375688,0.265580043,0.593632959
1257,6.034186343,0.247783022,15.85058768,1.799308785,1.262959781,-200,2.291679786,0.11351685,0.184241074,0.615576368,2.62449381,1.117049748,12.53200376,0.355876986,-0.7519805
5443,11.94256615,0.414289499,11.75729039,6.701930468,0.955733717,4.458461538,1.732595917,0.570023385,0.161041281,6.478187292,1.154364169,0.213285904,11.19646101,0.390437473,0
8376,8.984905605,0.20006799,13.3437818,1.846624904,1.270504344,2.947830778,3.628638188,0.138388422,0.153723371,0.664611196,2.504639112,0.92844686,8.463245724,0.437403055,-0.22589053
9340,12.42292062,0.103730921,12.51419615,2.404485411,3.166422919,3.306306306,0.538702111,0.19214062,0.099715761,2.870592989,1.348360079,0.088871514,0.249950123,0.800851403,0.065465981
6455,9.168234592,0.400338529,15.32067311,1.526030568,0.488513893,133.672849,1.466475846,0.099605974,0.128104548,0.865334892,2.155621955,0.417626074,36.47385932,0.150216093,-0.003010537
6970,99.30938776,0.047268908,92.81607477,2.959272944,1.21424624,-200,2.089116143,0.031883194,0.02759009,0.466328963,3.144408946,0.145361578,5.991941392,0.313730285,1.430432208
209,15.79775524,0.139351193,16.77724423,1.291833739,1.182054679,2.48786696,1.249506477,0.076999162,0.068305487,1.475448582,1.677759979,0.178304084,0.930510182,0.32179736,-0.290314204
7010,7.816632489,0.454406365,9.555107853,1.331163822,0.681488275,6.292372881,1.858031467,0.139314369,0.12729989,1.253975201,1.797463937,0.222100256,14.50704225,0.110903659,-0.108980827
2198,8.310898231,0.457555371,8.548729173,3.364945531,0.673318431,4.262676056,1.145291077,0.393619386,0.190220439,5.239662072,1.190852003,0.050438301,4.497149145,0.274300458,0.470588235
171,8.629220114,0.341875433,16.0201653,3.649419219,0.948083453,800,2.037394337,0.227801596,0.339463135,0.754694163,2.325040061,0.886206517,14.74753508,0.224685373,-0.222822563
2600,12.956057,0.969949021,18.71706853,13.16573657,2.797729758,46.94805195,1.058627396,0.703408044,0.465693431,2.418483267,1.41348229,0.166712976,4.359215017,0.587721015,-0.045999511
1468,-34.81219603,-0.235993304,-22.47642982,21.70796835,7.879435395,-1.509468994,3.973990217,-0.965810341,0,2.107031369,1.474601382,2.708546661,27.5108466,0.84268269,1.938388626
11670,-9.190497602,-0.086657622,-7.064773452,0.859825579,0.154011797,-10.16496846,1.922718616,-0.121706037,0,1.087365606,1.919653881,0.07273812,8.308759299,0.338828538,0
8555,20.31595918,0.059809604,17.12756995,1.736757331,2.830050929,2.894638431,0.800224202,0.101401269,0.051013645,1.905904194,1.524685345,0.022650709,0.263641929,0.771073037,0
7039,17.84166961,0.558637607,47.71384915,-50,1.871241302,9.095238095,1.381736172,-3.287356322,0.176868138,0,0.987078294,0.226398671,8.839480519,0.108682025,-0.087371848
1645,23.96918164,0.228400663,29.96951567,3.635615099,6.251392178,2.253573539,0.071634343,0.121310439,0.185584468,2.598201201,1.384881663,0.009757447,0.174699445,0.873188372,-0.205479452
2683,59.49730807,0.053865527,25.96429795,3.994665017,6.567948352,2.351333639,0.940975401,0.153852225,0.03501031,1.767314215,1.565830338,0.033003017,0.241292633,0.829374768,-0.181619256
3345,49.91529206,0.04102069,64.14574828,2.913471506,11.21408075,2.542276386,0.357227941,0.045419558,0.04259135,0.814259773,2.228109301,0.24879597,0.154724549,0.655422353,-0.072038238
3059,65.37072876,0.022641014,82.10127179,1.658505812,1.383760791,-200,3.389137605,0.020200732,0.017765657,0.359856587,3.778884799,1.428007814,20.56854997,0.349653625,0.044705882
7479,107.4138255,0.656685057,359.7671378,2.085750458,2.303036667,3.873750234,1.173195947,0.005797501,0.018066204,0.358133289,3.792256492,0.55073905,38.54609233,1,0
7798,54.39136842,0.050941307,31.77744,1.426276481,0.43578497,1.483870968,2.34519573,0.044883303,0.021372328,1.1005386,1.908646003,0.085409253,24.80272109,0.159626988,0.071600481
1501,22.64116489,-0.689131078,29.54376495,-18.37490222,9.922269134,71.17019134,0.312869321,-0.621955335,0,0,0.487378274,0.218203376,36.04044776,0.901714906,0.408995984
5886,9.803176203,0.627882948,12.63436821,7.455693093,1.771679908,42.32587065,1.35924784,0.590112063,0.253940647,3.791210723,1.263767982,0.388134322,6.760254148,0.457262503,0.279332701
4219,52.3569048,0.081496907,132.012704,3.257221785,7.040652564,1.820462048,1.809822536,0.024673548,0.043123786,0.979485802,2.020943845,1.159369584,0.464993408,0.497954642,0.079157003
6570,17.26952504,0.268287781,32.28740529,2.057519766,1.512906839,2.236180905,1.22884451,0.063725151,0.074544754,2.409503359,1.415023285,0.084466548,2.802055088,0.446317612,0.369668422
12279,18.90040258,1.428915589,20.13994616,2.623942462,4.331623905,11.88099146,1.376212111,0.130285475,0.10978058,0.520475911,2.921318508,0.497804553,7.900296587,0.734093098,0.651650312
10100,8.361777637,0.112051082,10.91968939,2.020783176,0.211586889,2.019839846,2.069783425,0.185058668,0.119554069,3.99061519,1.25058793,0.473740613,11.08040746,0.0764383,-0.259099321
11732,-69.98541438,-0.138728934,-79.32040395,8.4034442,7.969646151,60.43678161,3.793423566,-0.105943033,0,0.251402142,4.97769085,3.465464479,13.19979482,0.639252128,1.261647727
8789,12.24161715,0.45720033,19.01325845,4.037925705,4.561965078,15.75247525,2.760287486,0.212374208,0.205904656,0.827183501,2.208921598,2.032694476,12.46832342,0.764246814,-0.124013885
10212,186.0990283,0.029964339,-149.7700561,2.918471713,2.676492444,0.401605183,0.828308685,-0.01948635,0.013344741,1.004943445,1.995080872,0.309796326,1.770353379,0.617828076,-0.238372093
10681,17.31729556,0.19472332,29.21803902,13.84296254,1.976337809,3.193152319,1.929548882,0.473781369,0.144259557,7.530336673,1.132796187,1.068092692,1.357613077,0.36745579,0.317866667
10162,12.51873712,0.07202473,13.42488515,1.406303991,1.131150342,3,1.210987261,0.104753521,0.069846835,2.54870892,1.392355515,0.128980892,0.448834746,0.432381402,-0.027281999
1289,13.59439073,0.088702755,17.6894149,1.744552909,1.904175252,5.266919589,0.542339389,0.09862129,0.078389581,1.840578603,1.543307413,0.024811595,0.393910704,0.557334595,0.424862888
12351,14.73925844,0.399098241,17.98450993,6.849205147,3.879779716,49.6354717,2.97129012,0.380839132,0.260745109,1.247403554,1.801665184,1.5973343,7.105335521,0.603067992,0.376145261
11925,13.56027653,-1.365076014,22.07211059,3.853790838,0.837913871,12.1180881,0.687870543,0.174600015,0.175018353,2.055811292,1.486425969,0.269532202,31.32350449,0.234721922,0.4083125
829,7.655581827,0.251120873,10.67402204,2.062675409,3.280987179,9.180463576,3.520395738,0.193242566,0.160391158,0.81615436,2.225258418,2.651750381,2.726005071,0.852521092,0.313208284
7839,12.94795583,0.125363072,19.35944818,1.323489952,1.873149096,-200,4.252997263,0.068364033,0.066651969,0.173297477,6.770424451,3.156815071,8.495647115,0.528661598,0.474383302
